업소명,동,아메리카노,경도,위도,근처 카페 수,면적,동,동 면적,인구,동 카페 수
투썸플레이스라온명품관점,13,4100,126.2411651,33.37859235,0,66,5,45.21,"53,953",27
보나뻬띠,5,2000,126.4766307,33.48001221,2,40.3,5,45.21,"53,953",27
스타벅스제주노형점,5,4100,126.4818554,33.48782521,2,286,12,150.68,"24,531",9
카페삼오삼오쩜일,12,4000,126.6556352,33.53920839,1,96,1,6.26,"57,748",41
이성필커피,1,4500,126.5291769,33.49996713,10,116.87,13,91.09,"21,388",7
카페헤밍웨이,13,5000,126.2472602,33.39972907,1,100.69,1,6.26,"57,748",41
빽다방제주대학로점,1,1500,126.5281992,33.49991888,7,43.68,4,70.48,"34,357",27
위더스트래블,4,3700,126.5484685,33.4755407,0,89.91,5,45.21,"53,953",27
제주노형뜨란채점빽다방,5,1500,126.4733532,33.48658492,1,39.6,5,45.21,"53,953",27
탐라도서관점빽다방,5,1500,126.4779774,33.48001096,1,68.31,8,4.03,"3,151",5
리치망고도두해안로점,8,3500,126.468402,33.50563936,0,166.88,11,202.16,"36,110",21
본카페 애월,11,5000,126.3320794,33.46778758,1,187.36,10,9.53,"25,461",4
제주삼화부영점빽다방,10,1500,126.5876618,33.5172865,0,65.55,7,5.54,"22,503",9
커피방아,7,3000,126.5184513,33.51194903,0,13,1,6.26,"57,748",41
아일렛,1,3500,126.5358003,33.48909891,4,74.9,12,150.68,"24,531",9
망고레이,12,3500,126.6668658,33.54239374,0,55.64,9,8.28,"24,872",6
이삭토스트삼화점,9,2500,126.5767442,33.51709404,1,66,13,91.09,"21,388",7
배스킨라빈스제주한림점,13,2500,126.2653775,33.41208627,0,96.8,11,202.16,"36,110",21
네꼬야,11,4000,126.4156147,33.4856703,0,150,11,202.16,"36,110",21
꿈꾸는고양이,11,2500,126.357631,33.46609448,0,48,14,185.93,"15,651",12
카페공작소,14,4500,126.8598778,33.52464188,0,99.6,4,70.48,"34,357",27
건달다방,4,3000,126.5443388,33.46920108,0,70.48,11,202.16,"36,110",21
마마롱,11,4000,126.4391774,33.45215188,0,152.45,7,5.54,"22,503",9
드롭탑제주용담해안도로점,7,4100,126.4964168,33.51995062,0,186.7,3,12.3,"41,522",25
요거프레소바오젠점,3,3000,126.5010544,33.49684349,2,61.54,4,70.48,"34,357",27
카페몽,4,3500,126.5521976,33.47406415,0,117.41,3,12.3,"41,522",25
엘가커피,3,4000,126.4906393,33.48151045,3,327.37,14,185.93,"15,651",12
풍림다방,14,5000,126.7835817,33.47160736,1,45.12,12,150.68,"24,531",9
어느멋진날,12,3500,126.6359575,33.53565094,0,49.59,4,70.48,"34,357",27
커피니제주영평점,4,2800,126.5716667,33.45295875,0,165.35,14,185.93,"15,651",12
모란이피기까지,14,3000,126.8664233,33.5155773,0,47.28,14,185.93,"15,651",12
